iter	Passed	Remaining
0	1	195
1	3	167
2	4	148
3	5	142
4	7	136
5	8	137
6	9	131
7	11	129
8	12	124
9	13	119
10	14	114
11	15	111
12	16	109
13	17	106
14	18	104
15	19	101
16	20	99
17	21	96
18	22	94
19	22	91
20	23	89
21	24	87
22	25	85
23	26	83
24	27	81
25	27	79
26	28	77
27	29	75
28	30	73
29	31	72
30	31	71
31	32	69
32	33	68
33	34	66
34	34	64
35	35	63
36	36	61
37	36	60
38	37	58
39	38	57
40	39	56
41	39	54
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	48	39
55	49	38
56	50	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	32
62	54	31
63	55	31
64	55	30
65	56	29
66	57	28
67	57	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
