iter	Passed	Remaining
0	192	191825
1	193	96463
2	194	64655
3	195	48670
4	196	39075
5	197	32699
6	198	28131
7	199	24700
8	200	22055
9	201	19921
10	202	18177
11	203	16739
12	204	15505
13	205	14445
14	206	13527
15	206	12724
16	207	12012
17	208	11380
18	209	10812
19	210	10301
20	211	9839
21	211	9420
22	212	9037
23	213	8685
24	214	8365
25	215	8071
26	216	7796
27	217	7540
28	218	7301
29	218	7078
30	219	6870
31	220	6676
32	221	6493
33	222	6321
34	223	6158
35	224	6006
36	225	5861
37	226	5723
38	226	5591
39	227	5466
40	228	5356
41	230	5246
42	230	5140
43	231	5037
44	232	4938
45	233	4844
46	234	4752
47	235	4664
48	236	4580
49	236	4500
50	237	4422
51	238	4348
52	239	4277
53	240	4207
54	241	4141
55	241	4077
56	242	4017
57	243	3958
58	244	3902
59	245	3848
60	246	3793
61	247	3741
62	248	3690
63	248	3641
64	249	3593
65	250	3547
66	251	3502
67	252	3459
68	253	3417
69	254	3375
70	254	3335
71	255	3296
72	256	3260
73	257	3223
74	258	3187
75	259	3155
76	260	3121
77	261	3088
78	262	3056
79	263	3024
80	263	2993
81	264	2963
82	265	2930
83	266	2901
84	266	2873
85	267	2846
86	268	2819
87	269	2793
88	270	2767
89	271	2743
90	272	2719
91	273	2694
92	273	2671
93	274	2648
94	275	2626
95	276	2604
96	277	2583
97	278	2561
98	279	2541
99	280	2521
100	281	2501
101	281	2481
102	282	2463
103	283	2444
104	284	2425
105	285	2407
106	286	2390
107	287	2372
108	288	2354
109	288	2338
110	289	2321
111	290	2305
112	291	2288
113	292	2272
114	293	2256
115	293	2240
116	294	2223
117	295	2208
118	296	2193
119	297	2179
120	297	2164
121	298	2149
122	299	2135
123	300	2121
124	301	2107
125	301	2094
126	302	2080
127	304	2077
128	306	2066
129	306	2053
130	307	2041
131	308	2030
132	309	2018
133	310	2006
134	311	1994
135	312	1982
136	312	1971
137	313	1959
138	314	1948
139	315	1937
140	316	1926
141	316	1914
142	317	1905
143	319	1896
144	320	1888
145	321	1879
146	322	1870
147	323	1860
148	324	1851
149	325	1842
150	326	1833
151	327	1824
152	327	1815
153	328	1807
154	329	1798
155	331	1790
156	331	1781
157	332	1774
158	333	1766
159	334	1758
160	335	1748
161	336	1740
162	337	1732
163	338	1724
164	339	1716
165	340	1709
166	341	1700
167	341	1693
168	342	1685
169	343	1678
170	344	1672
171	345	1664
172	346	1657
173	347	1649
174	348	1643
175	349	1636
176	350	1628
177	351	1621
178	351	1614
179	352	1606
180	353	1599
181	354	1592
182	355	1585
183	355	1578
184	356	1571
185	357	1564
186	358	1559
187	359	1553
188	360	1546
189	361	1540
190	362	1534
191	363	1528
192	364	1522
193	364	1516
194	365	1510
195	366	1503
196	367	1497
197	368	1491
198	369	1485
199	369	1479
200	370	1473
201	371	1467
202	372	1461
203	373	1456
204	374	1450
205	374	1445
206	375	1439
207	376	1434
208	377	1429
209	378	1424
210	379	1419
211	380	1415
212	381	1410
213	382	1405
214	383	1400
215	384	1395
216	385	1391
217	386	1386
218	387	1381
219	388	1376
220	388	1371
221	389	1366
222	390	1361
223	391	1356
224	392	1352
225	393	1347
226	394	1343
227	395	1338
228	396	1333
229	396	1328
230	397	1323
231	398	1319
232	399	1314
233	400	1309
234	400	1305
235	401	1300
236	402	1295
237	403	1291
238	404	1286
239	404	1281
240	405	1277
241	406	1273
242	407	1269
243	408	1265
244	409	1261
245	410	1256
246	410	1252
247	411	1248
248	412	1244
249	413	1239
250	414	1235
251	414	1231
252	415	1227
253	416	1223
254	417	1219
255	418	1215
256	418	1211
257	419	1207
258	420	1204
259	421	1200
260	422	1196
261	423	1193
262	424	1189
263	425	1185
264	425	1181
265	426	1177
266	427	1174
267	428	1170
268	429	1166
269	430	1162
270	430	1159
271	431	1155
272	432	1151
273	433	1147
274	434	1145
275	435	1141
276	436	1138
277	437	1135
278	438	1131
279	438	1128
280	439	1125
281	440	1121
282	441	1118
283	442	1114
284	442	1111
285	443	1107
286	444	1104
287	445	1100
288	446	1097
289	446	1094
290	447	1091
291	448	1088
292	449	1085
293	450	1082
294	451	1079
295	452	1077
296	453	1074
297	454	1070
298	455	1067
299	456	1064
300	457	1061
301	457	1058
302	458	1055
303	459	1051
304	460	1048
305	461	1045
306	461	1042
307	462	1039
308	463	1036
309	464	1033
310	465	1031
311	466	1028
312	467	1025
313	468	1022
314	469	1019
315	469	1017
316	470	1014
317	471	1012
318	472	1009
319	473	1006
320	474	1003
321	475	1000
322	475	997
323	476	994
324	477	991
325	478	989
326	479	986
327	480	983
328	481	981
329	482	978
330	482	975
331	483	973
332	484	970
333	485	967
334	486	964
335	486	962
336	487	959
337	488	956
338	489	954
339	490	951
340	490	948
341	491	946
342	492	943
343	493	940
344	494	938
345	495	935
346	496	933
347	496	931
348	497	928
349	498	926
350	499	923
351	500	921
352	501	918
353	501	915
354	502	913
355	503	911
356	504	908
357	505	906
358	506	904
359	507	901
360	508	899
361	508	897
362	509	894
363	510	892
364	511	890
365	512	888
366	513	886
367	514	883
368	515	881
369	516	879
370	517	877
371	518	874
372	519	872
373	520	870
374	520	868
375	521	866
376	522	863
377	523	861
378	524	859
379	525	856
380	526	854
381	526	852
382	527	850
383	528	848
384	529	845
385	530	843
386	531	841
387	532	839
388	533	837
389	534	835
390	535	833
391	536	831
392	537	830
393	538	828
394	540	827
395	541	825
396	542	823
397	543	822
398	544	820
399	545	817
400	546	815
401	547	813
402	547	811
403	548	809
404	549	807
405	550	805
406	551	803
407	552	801
408	553	799
409	554	797
410	555	795
411	556	793
412	557	791
413	558	790
414	559	788
415	560	786
416	560	784
417	561	782
418	562	780
419	563	778
420	564	776
421	565	774
422	566	772
423	567	770
424	568	769
425	569	767
426	570	765
427	571	763
428	572	762
429	573	760
430	574	758
431	575	756
432	576	754
433	577	752
434	577	750
435	578	748
436	579	746
437	580	744
438	581	743
439	582	741
440	583	739
441	584	738
442	585	736
443	586	734
444	587	732
445	588	730
446	588	728
447	589	726
448	590	724
449	591	722
450	592	720
451	592	718
452	593	716
453	594	714
454	595	713
455	596	711
456	597	709
457	597	707
458	598	705
459	599	704
460	600	702
461	601	700
462	602	698
463	603	696
464	603	694
465	604	692
466	605	690
467	606	689
468	607	687
469	607	685
470	608	683
471	609	681
472	610	679
473	611	678
474	611	676
475	612	674
476	613	672
477	614	671
478	615	669
479	616	667
480	616	665
481	617	663
482	618	662
483	619	660
484	620	658
485	620	656
486	621	654
487	622	653
488	623	651
489	624	650
490	625	648
491	626	646
492	627	644
493	628	643
494	629	641
495	629	640
496	630	638
497	631	636
498	632	635
499	633	633
500	634	631
501	635	630
502	635	628
503	636	626
504	637	625
505	638	623
506	639	621
507	640	620
508	641	618
509	642	616
510	643	615
511	643	613
512	644	612
513	645	610
514	646	608
515	647	607
516	648	605
517	649	604
518	649	602
519	650	600
520	652	599
521	653	598
522	654	596
523	654	594
524	655	593
525	656	591
526	657	590
527	658	588
528	659	587
529	660	585
530	661	583
531	662	582
532	662	580
533	663	579
534	664	577
535	665	576
536	666	574
537	667	572
538	667	571
539	668	569
540	669	568
541	670	566
542	671	564
543	672	563
544	673	561
545	673	560
546	674	558
547	675	557
548	676	555
549	677	554
550	678	552
551	678	550
552	679	549
553	680	547
554	681	546
555	682	544
556	682	543
557	683	541
558	684	539
559	685	538
560	686	536
561	687	535
562	688	534
563	688	532
564	689	531
565	690	529
566	691	528
567	692	526
568	693	525
569	694	523
570	694	522
571	695	520
572	696	519
573	697	517
574	698	516
575	698	514
576	699	513
577	700	511
578	701	510
579	702	508
580	703	507
581	704	506
582	705	504
583	706	503
584	707	501
585	707	500
586	708	498
587	709	497
588	710	495
589	711	494
590	711	492
591	712	491
592	713	489
593	714	488
594	715	486
595	716	485
596	717	484
597	717	482
598	718	481
599	719	479
600	720	478
601	721	476
602	722	475
603	722	473
604	723	472
605	724	471
606	725	469
607	726	468
608	726	466
609	727	465
610	728	463
611	729	462
612	730	461
613	731	459
614	732	458
615	732	456
616	733	455
617	734	454
618	735	452
619	736	451
620	737	449
621	737	448
622	738	447
623	739	445
624	740	444
625	741	442
626	742	441
627	743	440
628	744	438
629	744	437
630	745	436
631	746	434
632	747	433
633	748	431
634	749	430
635	750	429
636	750	427
637	751	426
638	752	425
639	753	423
640	754	422
641	754	420
642	755	419
643	756	418
644	757	416
645	758	415
646	758	414
647	759	412
648	760	411
649	761	410
650	762	408
651	763	407
652	764	406
653	765	405
654	766	403
655	767	402
656	768	400
657	768	399
658	769	398
659	770	396
660	771	395
661	772	394
662	772	392
663	773	391
664	774	390
665	775	389
666	776	387
667	777	386
668	778	385
669	779	383
670	779	382
671	780	381
672	781	379
673	782	378
674	783	377
675	784	375
676	784	374
677	785	373
678	786	371
679	787	370
680	788	369
681	789	368
682	790	366
683	791	365
684	792	364
685	793	363
686	793	361
687	794	360
688	795	359
689	796	357
690	797	356
691	797	355
692	798	353
693	799	352
694	800	351
695	801	349
696	801	348
697	802	347
698	803	346
699	804	344
700	805	343
701	806	342
702	807	341
703	807	339
704	808	338
705	809	337
706	810	335
707	811	334
708	812	333
709	812	332
710	813	330
711	814	329
712	815	328
713	816	326
714	817	325
715	818	324
716	819	323
717	820	322
718	821	320
719	821	319
720	822	318
721	823	317
722	824	315
723	825	314
724	826	313
725	827	312
726	828	310
727	828	309
728	829	308
729	830	307
730	831	306
731	832	304
732	833	303
733	834	302
734	836	301
735	837	300
736	838	299
737	839	297
738	840	296
739	841	295
740	842	294
741	843	293
742	844	292
743	845	290
744	846	289
745	847	288
746	848	287
747	849	286
748	850	284
749	851	283
750	852	282
751	853	281
752	853	280
753	854	278
754	855	277
755	856	276
756	857	275
757	858	274
758	859	272
759	860	271
760	861	270
761	861	269
762	862	268
763	864	266
764	865	265
765	866	264
766	866	263
767	867	262
768	868	260
769	869	259
770	870	258
771	871	257
772	872	256
773	873	254
774	874	253
775	874	252
776	875	251
777	876	250
778	877	248
779	878	247
780	879	246
781	880	245
782	881	244
783	882	243
784	883	241
785	884	240
786	885	239
787	885	238
788	886	237
789	887	235
790	888	234
791	889	233
792	890	232
793	891	231
794	892	230
795	893	228
796	894	227
797	894	226
798	895	225
799	896	224
800	897	223
801	898	221
802	899	220
803	900	219
804	901	218
805	902	217
806	902	215
807	903	214
808	904	213
809	905	212
810	906	211
811	907	210
812	908	208
813	909	207
814	910	206
815	911	205
816	912	204
817	913	203
818	913	201
819	914	200
820	915	199
821	916	198
822	917	197
823	918	196
824	919	194
825	920	193
826	920	192
827	921	191
828	922	190
829	923	189
830	924	188
831	925	186
832	926	185
833	927	184
834	928	183
835	929	182
836	930	181
837	930	179
838	931	178
839	932	177
840	933	176
841	934	175
842	935	174
843	936	173
844	937	171
845	938	170
846	939	169
847	939	168
848	940	167
849	941	166
850	942	165
851	943	163
852	944	162
853	945	161
854	945	160
855	946	159
856	947	158
857	948	157
858	949	155
859	950	154
860	951	153
861	952	152
862	953	151
863	954	150
864	955	149
865	956	147
866	956	146
867	957	145
868	958	144
869	959	143
870	960	142
871	960	141
872	961	139
873	962	138
874	963	137
875	964	136
876	965	135
877	965	134
878	966	133
879	967	131
880	968	130
881	969	129
882	970	128
883	971	127
884	971	126
885	972	125
886	973	124
887	974	122
888	975	121
889	976	120
890	976	119
891	977	118
892	978	117
893	979	116
894	980	114
895	981	113
896	981	112
897	982	111
898	983	110
899	984	109
900	985	108
901	986	107
902	987	106
903	987	104
904	988	103
905	989	102
906	990	101
907	991	100
908	991	99
909	992	98
910	993	97
911	994	95
912	995	94
913	996	93
914	997	92
915	997	91
916	998	90
917	999	89
918	1000	88
919	1001	87
920	1002	85
921	1003	84
922	1003	83
923	1004	82
924	1005	81
925	1006	80
926	1007	79
927	1007	78
928	1008	77
929	1009	75
930	1010	74
